TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_4364,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_28227,BRANCH;EXCEPTION,0.9,6,5
com.example.task_evaluated.task_16636,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_9577,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_17382,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_26406,BRANCH;EXCEPTION,0.9090909090909092,12,10
com.example.task_evaluated.task_14215,BRANCH;EXCEPTION,1.0,14,14
com.example.task_evaluated.task_3434,BRANCH;EXCEPTION,1.0,18,18
com.example.task_evaluated.task_3624,BRANCH;EXCEPTION,1.0,20,19
com.example.task_evaluated.task_14491,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_14219,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_31655,BRANCH;EXCEPTION,0.7,6,3
com.example.task_evaluated.task_21717,BRANCH;EXCEPTION,0.8571428571428572,8,6
com.example.task_evaluated.task_6162,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_20752,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_10173,BRANCH;EXCEPTION,0.9090909090909092,13,11
com.example.task_evaluated.task_17426,BRANCH;EXCEPTION,0.5434782608695652,24,3
com.example.task_evaluated.task_2977,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_31508,BRANCH;EXCEPTION,1.0,17,17
com.example.task_evaluated.task_13411,BRANCH;EXCEPTION,0.9090909090909092,14,12
com.example.task_evaluated.task_14200,BRANCH;EXCEPTION,0.8095238095238095,25,17
com.example.task_evaluated.task_14568,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_20477,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_12299,BRANCH;EXCEPTION,0.7222222222222222,10,5
com.example.task_evaluated.task_20696,BRANCH;EXCEPTION,0.8888888888888888,10,8
com.example.task_evaluated.task_27413,BRANCH;EXCEPTION,0.6,7,3
com.example.task_evaluated.task_9173,BRANCH;EXCEPTION,0.9615384615384616,17,16
com.example.task_evaluated.task_17850,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_12158,BRANCH;EXCEPTION,0.8333333333333333,5,4
com.example.task_evaluated.task_30041,BRANCH;EXCEPTION,0.6666666666666666,10,4
com.example.task_evaluated.task_1632,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_24993,BRANCH;EXCEPTION,0.9,9,8
com.example.task_evaluated.task_1841,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_17779,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14367,BRANCH;EXCEPTION,0.8333333333333333,9,6
com.example.task_evaluated.task_9171,BRANCH;EXCEPTION,1.0,8,7
com.example.task_evaluated.task_10600,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_18435,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_20064,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_14557,BRANCH;EXCEPTION,0.9444444444444444,17,16
com.example.task_evaluated.task_20365,BRANCH;EXCEPTION,0.5975609756097561,42,9
com.example.task_evaluated.task_31673,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_14202,BRANCH;EXCEPTION,1.0,16,16
com.example.task_evaluated.task_13413,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14940,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_19238,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_14776,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_18515,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_15818,BRANCH;EXCEPTION,0.9,12,10
com.example.task_evaluated.task_2586,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_16251,BRANCH;EXCEPTION,0.8333333333333333,4,3
com.example.task_evaluated.task_16150,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_3442,BRANCH;EXCEPTION,1.0,10,10
com.example.task_evaluated.task_14007,BRANCH;EXCEPTION,0.9615384615384616,14,13
com.example.task_evaluated.task_27408,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_25482,BRANCH;EXCEPTION,0.8888888888888888,12,10
com.example.task_evaluated.task_29558,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_10208,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_2177,BRANCH;EXCEPTION,0.9230769230769231,16,14
com.example.task_evaluated.task_33440,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_16049,BRANCH;EXCEPTION,0.6666666666666666,7,3
com.example.task_evaluated.task_7882,BRANCH;EXCEPTION,0.7727272727272727,14,9
com.example.task_evaluated.SortByKey,BRANCH;EXCEPTION,0.875,4,3
com.example.task_evaluated.task_20548,BRANCH;EXCEPTION,1.0,4,4
